ds,yhat
2012-10-02,169.90196485769422
2012-10-03,125.07519137132233
2012-10-04,163.14628447076439
2012-10-05,184.45529883778732
2012-10-08,208.5672824337035
2012-10-10,163.07504840991794
2012-10-12,224.6679063882324
2012-10-17,196.4062889791694
2012-10-18,232.77856181922462
2012-10-19,251.22124519987293
2012-10-20,207.35282935478898
2012-10-23,251.43774472710706
2012-10-24,201.8392261537898
2012-10-25,234.0626099677344
2012-10-26,248.59893229243735
2012-10-29,248.5733013095179
2012-10-30,237.01645315762795
2012-10-31,185.66632297237106
2012-11-01,216.66530860993336
2012-11-02,230.5032127781779
2012-11-03,182.86198644595652
2012-11-05,231.3222608454311
2012-11-06,220.89477081197555
2012-11-07,171.00699961138304
2012-11-08,203.73579093434444
2012-11-09,219.50095700755426
2012-11-10,173.91222475494095
2012-11-12,226.56634530783683
2012-11-13,218.14417583966932
2012-11-14,170.11880159067695
2012-11-16,221.70905035552718
2012-11-17,177.27801738954025
2012-11-19,231.35591591985792
2012-11-20,223.18897987425336
2012-11-21,175.1255104353683
2012-11-22,209.21139796903287
2012-11-24,180.66770563623993
2012-11-27,223.56549871968858
2012-11-28,174.42216649218201
2012-11-29,207.4793793730643
2012-11-30,223.19493992521217
2012-12-01,177.2304147033935
2012-12-03,228.4168341044059
2012-12-04,219.05340737227522
2012-12-05,170.0560331956102
2012-12-06,203.5307938697788
2012-12-07,219.93284053101172
2012-12-08,174.9115797916807
2012-12-10,228.66172121733604
2012-12-11,220.85246437712485
2012-12-12,173.53575284564388
2012-12-13,208.77032182851153
2012-12-14,226.96102340395262
2012-12-15,183.7057027030312
2012-12-16,229.51450766849095
2012-12-17,240.717372689605
2012-12-18,234.30966769397924
2012-12-19,188.18684888066716
2012-12-20,224.3744713838495
2012-12-21,243.25192788518137
2012-12-24,257.3475302344797
2012-12-25,250.4843446995673
2012-12-27,238.8893441555882
2012-12-30,256.9932183156048
2012-12-31,266.55278929426146
2013-01-03,243.82196851440915
2013-01-07,267.6654549357779
2013-01-09,210.4165979407918
2013-01-10,244.32233622644068
2013-01-16,213.969116421318
2013-01-21,274.2496244566446
2013-01-22,265.41876687810515
2013-01-23,216.46977565559837
2013-01-28,264.99961100003793
2013-01-30,200.01496359011264
2013-01-31,229.0310162961785
2013-02-01,240.1988580354065
2013-02-04,228.8858621475543
2013-02-05,213.17209399732158
2013-02-07,184.08434238760492
2013-02-09,141.39174059089743
2013-02-13,114.32220747608649
2013-02-19,159.4820959627977
2013-02-21,154.25332518138515
2013-02-22,177.63986827455528
2013-03-02,229.11989322158885
2013-03-04,311.95114997223084
2013-03-05,318.1856672636088
2013-03-09,329.5527025409518
2013-03-11,404.134160774124
2013-03-13,363.63773328859895
2013-03-14,403.6478344167883
2013-03-15,424.869551779258
2013-03-16,382.90102478002154
2013-03-18,437.4039261480849
2013-03-20,376.1084453068141
2013-03-21,405.8490496709478
2013-03-23,365.5676318670155
2013-03-25,402.7328641745247
2013-03-27,327.1082758996133
2013-03-29,357.29032402715836
2013-04-02,314.8361930876649
2013-04-08,270.8586516496741
2013-04-09,254.9180611848833
2013-04-10,199.722891994401
2013-04-11,227.3353563769762
2013-04-13,187.81061537444157
2013-04-14,226.79239277651251
2013-04-15,231.4480181481107
2013-04-16,218.78469988924547
2013-04-17,166.71274930796667
2013-04-18,197.27547919807324
2013-04-20,163.10736174239491
2013-04-22,211.42307898324853
2013-04-23,200.88901975578204
2013-04-24,150.84038197781194
2013-04-25,183.3495849616749
2013-04-29,205.0954276260895
2013-05-01,148.53031448632817
2013-05-06,213.94053335751906
2013-05-07,207.70367178123402
2013-05-09,198.8252533515315
2013-05-10,218.6163353778339
2013-05-11,176.94206968405038
2013-05-12,224.30032131917469
2013-05-13,237.0096919224125
2013-05-15,187.32160052706814
2013-05-17,244.93664215378737
2013-05-19,250.18866357785183
2013-05-20,262.14477791000496
2013-05-21,256.0918878350717
2013-05-22,209.93587891952313
2013-05-23,245.72109144826595
2013-05-24,263.85325689664813
2013-05-27,274.0102774379678
2013-05-28,265.40657235421344
2013-05-29,216.69109420858607
2013-05-31,265.683870704757
2013-06-03,269.69102408959054
2013-06-04,259.53285918405027
2013-06-06,241.89053813524674
